name,station
Manakish Oven & Grill,Pleasant Hill/Contra Costa Centre
Gold Bean Cafe,Downtown Berkeley
Revival Kitchen,Downtown Berkeley
Pollo's,Downtown Berkeley
Comal Next Door,Downtown Berkeley
Lucia’s Pizzeria,Downtown Berkeley
Gather,Downtown Berkeley
Zhangliang Malatang,Downtown Berkeley
Razan Organic Kitchen,Downtown Berkeley
Round Table Pizza,Castro Valley
Genghix Asian Fusion,Castro Valley
Pampas,Castro Valley
Krayon's Gallery,Castro Valley
The Breakfast Club at Midtown,Castro Valley
JP's Family Restaurant & Sports Lounge,Castro Valley
Norman's Grill,Castro Valley
Blue Bottle Coffee,Downtown Berkeley
Donut Delight,Union City
Round Table Pizza,Union City
U and I,24th St/Mission
Clooney's Pub,24th St/Mission
Dovre Club,24th St/Mission
Sugar Plum Coffee Shop,Concord
La Fritanguera,Concord
Sakana,Powell St
Owl Tree,Powell St
Zzan,Powell St
Akiko's Sushi Bar,Powell St
Level III,Powell St
Lost Cat,Powell St
Zingari,Powell St
Honey Honey Cafe & Crepery,Powell St
The White Horse,Powell St
Matador,Powell St
Cesario's,Powell St
Peet's Coffee,Rockridge
Mitama,Rockridge
Chandni Chowk,Rockridge
Peet's Coffee,Fremont
Mixt Greens,Embarcadero
Tlaloc,Embarcadero
Farley's East,19th St/Oakland
Cactus Taqueria,Rockridge
Crepevine,Rockridge
Barney's,Rockridge
Classic Cars West Beer Garden,19th St/Oakland
Cafenated Kiosk,19th St/Oakland
Cafe 5,Montgomery St
Tselogs,Colma
Basil Pizzeria,12th St/Oakland City Center
Mua Lounge,19th St/Oakland
Sai's Vietnamese Restaurant,Embarcadero
IHOP,San Leandro
Henry's Hunan,Embarcadero
Pharaohs Mediterranean Sandwiches,Powell St
Rye,Powell St
The Thonglor,Powell St
Bentotaro,Powell St
The Mortimer,Powell St
Tratto,Powell St
Bota Tapas & Paella Bar,Powell St
David's Delicatessen & Diner,Powell St
Starbucks,Powell St
Biscuits & Blues,Powell St
Bloodhound,Civic Center/UN Plaza
Nosh Box,Civic Center/UN Plaza
Sushi Hashiri,Powell St
Anzu Restaurant,Powell St
Favorite Indian Restaurant,Hayward
La Corneta,24th St/Mission
Radiator,Montgomery St
Las Cabanas,Downtown Berkeley
Benc⑁ Patisserie Cafe,Downtown Berkeley
Cafe Étoile,Downtown Berkeley
Sivan's Cafe,Hayward
Chinatown Restaurant,Montgomery St
New Delhi,Powell St
Miyabiya Sushi and Grill,Powell St
Magnin Street Cafe & Bistro,Powell St
King Kee,Powell St
Mellis Cafe,Powell St
Urban Tavern,Powell St
Jasper's,Powell St
Million Thai,Powell St
Hinodeya Ramen & Bar,Powell St
Boudin,Powell St
King of Thai Noodle,Powell St
Starbucks,South San Francisco
El Tesoro,Powell St
Pakwan,Powell St
Marrakech,Powell St
Raunak Indian Kitchen,Milpitas
Taqueria Montecristo,North Berkeley
Pho Tasty,Downtown Berkeley
Café de la Presse,Montgomery St
Millie's,Lafayette
Mel's Drive-In,Powell St
BJ's,San Bruno
Shapeshifters Cafe,12th St/Oakland City Center
Top Thai,Castro Valley
Shalimar,Powell St
The Lunch Box,19th St/Oakland
Omg Club,Powell St
Limoncello,Civic Center/UN Plaza
Bello Coffee & Tea,Glen Park
Nepalese Indian Cusine,Civic Center/UN Plaza
AJ's Bar,Civic Center/UN Plaza
Dancing Yak,16th St/Mission
Pork Store Cafe Valencia,16th St/Mission
Giordano Bros.,16th St/Mission
Tadamasa,Union City
Happy Lemon,Union City
Bar Bay Grill,Union City
Asia Express,Union City
Jenjon's Cafe,Union City
Cafe 86,Union City
Joyride Pizza,Powell St
Ramen Hiroshi,Montgomery St
Shan Dong Restaurant,12th St/Oakland City Center
Popoca Oakland,12th St/Oakland City Center
Humphry Slocombe Ice Cream,19th St/Oakland
Uccello Coffee,12th St/Oakland City Center
El Chilar,19th St/Oakland
Lucuma Kitchen & Bar,19th St/Oakland
Pho 84,19th St/Oakland
Take It Easy Thai Food,19th St/Oakland
355,19th St/Oakland
Break Your Fast,Union City
Fatapple's Restaurant & Bakery,El Cerrito Plaza
Press Coffee,Downtown Berkeley
Cholita Linda,Downtown Berkeley
Rosamunde Sausage Grill,24th St/Mission
Sweet Bar Bakery,19th St/Oakland
Oakland Athletic Club,19th St/Oakland
Saucy Oakland,12th St/Oakland City Center
Graffiti Pizza,12th St/Oakland City Center
Square Pie Guys,12th St/Oakland City Center
Highwire Coffee Roasters,12th St/Oakland City Center
Penelope Bar & Lounge,12th St/Oakland City Center
Ladle and Leaf,12th St/Oakland City Center
Golden Lotus Vegetarian,12th St/Oakland City Center
Bagel Street Cafe,12th St/Oakland City Center
Sana'a Café,12th St/Oakland City Center
Golden Ratio,12th St/Oakland City Center
Homeroom,MacArthur
Hog Island Oyster Company,Embarcadero
Nopa Fish,Embarcadero
Lunette,Embarcadero
A16,Embarcadero
The Epicurean Trader,Embarcadero
Gott's Soft Serve,Embarcadero
Blue Bottle Coffee,Embarcadero
Cholita Linda,Embarcadero
Red Bay Coffee,Embarcadero
El Porteño,Embarcadero
Tsar Nicolai Caviar,Embarcadero
Humphrey Slocombe,Embarcadero
Imperial Tea Court,Embarcadero
Parachute,Embarcadero
Gott's Roadside,Embarcadero
Tita Becca's,12th St/Oakland City Center
Theory,19th St/Oakland
Beretta,24th St/Mission
Rite Spot Cafe,16th St/Mission
Tomo Sushi & Teriyaki,Daly City
Cold Stone Creamery,Daly City
Westlake Coffee Shop,Daly City
Round Table Pizza,Daly City
Philz Coffee,Montgomery St
Per Diem,Montgomery St
¡Venga! Empanadas,Montgomery St
Happy Lemon,Montgomery St
Barebottle Brew Co.,Embarcadero
Sam Wo Restaurant,Montgomery St
