name,station
Java Supreme,16th St/Mission
Maxfield's House of Caffeine,16th St/Mission
Wakamatsu,Hayward
Kang Tong,MacArthur
Big Daddy's Chinese Restaurant,MacArthur
Loló,24th St/Mission
Mission Street Oyster Bar,16th St/Mission
Echigo Home Cook,16th St/Mission
Curio,16th St/Mission
Peet's Coffee,Concord
Starbucks,Concord
Pintoh Thai,12th St/Oakland City Center
Delicious Curry House,12th St/Oakland City Center
Edible Happy Pizzeria,12th St/Oakland City Center
Town Fare,Lake Merritt
Key Klub,Powell St
Izakaya Yoki,Powell St
Parliament,12th St/Oakland City Center
Battambang,12th St/Oakland City Center
Cafe Gabriela,12th St/Oakland City Center
Zara,12th St/Oakland City Center
Oolong Noodles,Embarcadero
Melt Me Creamery,Downtown Berkeley
Cafe Dareye,19th St/Oakland
The Punchdown,19th St/Oakland
Koffee Pot,19th St/Oakland
Gogi Time,19th St/Oakland
Jitters and Shakes Cafe,19th St/Oakland
Trestle,Embarcadero
Modern Coffee,19th St/Oakland
Lounge Chinatown,12th St/Oakland City Center
BA-LE,12th St/Oakland City Center
Best Taste Restaurant,12th St/Oakland City Center
Sun Hing Restaurant,12th St/Oakland City Center
Zeng's Family Kitchen,12th St/Oakland City Center
Las Guerrera's Comida Costeña,12th St/Oakland City Center
Imperial Soup,12th St/Oakland City Center
Royaltea,12th St/Oakland City Center
Full House Cafe,Lake Merritt
Saint Anna Coffee Shop,12th St/Oakland City Center
Guangdong BBQ,12th St/Oakland City Center
Big Dish Restaurant,12th St/Oakland City Center
Joy Luck,Lake Merritt
Ying Kee Restaurant,12th St/Oakland City Center
i Tea,12th St/Oakland City Center
Cam Anh,12th St/Oakland City Center
Cafe 88,12th St/Oakland City Center
R' Noodles & Bakery,12th St/Oakland City Center
Quickly,12th St/Oakland City Center
Yummy Dim Sum,12th St/Oakland City Center
Phnom Penh House,Lake Merritt
Mam Hanoi,Lake Merritt
Alice Street Bakery Cafe,Lake Merritt
Chatime,Lake Merritt
Mr. Liu Noodle House,12th St/Oakland City Center
Nature Vegetarian Restaurant,12th St/Oakland City Center
Botbar Coffee,12th St/Oakland City Center
High XII,12th St/Oakland City Center
Lanee Kefa Coffee,Lake Merritt
Andytown Coffee Roasters,16th St/Mission
Mikado Sushi,16th St/Mission
Nardi Restaurant,MacArthur
Ramen Izakaya Goku,16th St/Mission
Stanza,16th St/Mission
Burma Love,16th St/Mission
Annapurna,12th St/Oakland City Center
Yoyo's,Embarcadero
Gyro King,Civic Center/UN Plaza
Buddha,Montgomery St
Grant Place,Montgomery St
Hon's Wun-Tun House,Montgomery St
Ramen Shop,Rockridge
There/There,19th St/Oakland
La Oaxaqueña,16th St/Mission
United Nations Cafe,Civic Center/UN Plaza
Hi Hat,24th St/Mission
Bad Walter's,Rockridge
Redfield,Rockridge
Koryo,MacArthur
Itani Ramen,19th St/Oakland
Hanshin Pocha,MacArthur
Miharu Ice Cream,19th St/Oakland
Southpaw,16th St/Mission
Yucatasia,16th St/Mission
Peking Garden,Montgomery St
iCafe SF,Montgomery St
Golden Star Vietnamese Restaurant,Montgomery St
Taava Kitchen,19th St/Oakland
Mothership,24th St/Mission
El Castillito,16th St/Mission
La Espiga De Oro,24th St/Mission
Aramex,16th St/Mission
Vallartas Taco Bar,16th St/Mission
Western Donut Chinese Food,16th St/Mission
Chiaroscuro,Embarcadero
High Horse SF,Embarcadero
Kusakabe,Embarcadero
Tricolore,Embarcadero
Oasis Grill,Powell St
The Grove,Montgomery St
Iron & Oak Restaurant and Bar,12th St/Oakland City Center
Twelve Bar Lounge,12th St/Oakland City Center
Micro Yali's,Downtown Berkeley
Joy Hing B.B.Q Noodle House,Montgomery St
Blue Bottle,Montgomery St
The Treasury,Montgomery St
Muracci's Japanese Curry and Grill,Montgomery St
Chicken G's,Montgomery St
Leo's Oyster Bar,Embarcadero
Kabuki Sushi,Antioch
Hillcrest Restaurant and Taphouse,Antioch
Sticky Rice Cafe,Fruitvale
El Gato Negro Bar,Fruitvale
El Paisa Taco,Fruitvale
Hornitos Cafe,Fruitvale
Tacos Sinaloa 2,Fruitvale
Cheri's Ice Cream and Deli,Fruitvale
Golden Hours,Fruitvale
Los Panchos,24th St/Mission
Bac Lieu,24th St/Mission
Taqueria Can-Cún,24th St/Mission
Fat Cat x The Mantis,24th St/Mission
The Knockout,24th St/Mission
Pagan Idol,Montgomery St
Akiko's,Montgomery St
Sweet Chinito,24th St/Mission
Ben's,Lake Merritt
Prubechu,16th St/Mission
YAMO,16th St/Mission
Taqueria El Buen Sabor,16th St/Mission
El Mil Amores,16th St/Mission
Enoteca Molinari,Rockridge
Aung Myanmar,12th St/Oakland City Center
Stars & Stripes Cafe,Fruitvale
Sidewalk Juice,24th St/Mission
Taste of Safari Restaurant and Grill,19th St/Oakland
Falafel Boy,19th St/Oakland
Equator Coffee,Downtown Berkeley
Hala Hala Cafe,24th St/Mission
Round Table Pizza,Hayward
Latte Express,Montgomery St
R & G Lounge,Montgomery St
State Side Cafe,12th St/Oakland City Center
Mun-cheeze,12th St/Oakland City Center
City Cup,12th St/Oakland City Center
Vault Cafe,Ashby
Wise Sons,24th St/Mission
Quickly,Balboa Park
Orchids Cafe,Balboa Park
Ada's Cafe,Ashby
Fiesta Bowls,16th St/Mission
El Salvador Restaurant,16th St/Mission
Hogar Latino,Fruitvale
Los Cocos,Fruitvale
El Grullense,Fruitvale
Mr Lucky's,Walnut Creek
Starbucks,Walnut Creek
El Faro,Montgomery St
Mo'z,Powell St
Yemeni Kebab & Mediterranean,Powell St
Gaslamp Cafe,16th St/Mission
Sutter Street Cafe,Powell St
The Blue Room,Powell St
City Chopsticks,Powell St
Fresh Brew Coffee,Powell St
Parrot Pizzeria & Rotisserie,Powell St
Beauty Bar,16th St/Mission
Bun Mee,Montgomery St
Tekka House,Glen Park
Gialina,Glen Park
La Corneta Taqueria,Glen Park
Glen Park Station,Glen Park
La Bonita Taqueria,19th St/Oakland
Sandwicheez Burger,19th St/Oakland
Kinfolx,19th St/Oakland
Agave Uptown,19th St/Oakland
Starbucks,Hayward
The Royale,Powell St
Sears Fine Food,Powell St
Doña Mago,16th St/Mission
Boudin Bakery & Cafe,Embarcadero
The Rumpus Room,Powell St
Laney Bistro,Lake Merritt
The Perennial,Civic Center/UN Plaza
Blind Tiger,19th St/Oakland
Little Bistro,12th St/Oakland City Center
Khatan Sushi,12th St/Oakland City Center
Sunflower,16th St/Mission
Poke Bowl,Balboa Park
Yammy Sushi,El Cerrito Plaza
Chef's,El Cerrito Plaza
Mel-O-Dee,El Cerrito Plaza
Starbucks,San Bruno
Capital Restaurant,Montgomery St
Los Molcajetes,Castro Valley
Pied Piper,Montgomery St
The Garden Court,Montgomery St
Plentea,Montgomery St
Onigilly,Montgomery St
Tin,Montgomery St
Tartine Manufactory,16th St/Mission
Mister Jiu's,Montgomery St
Korean House,Hayward
Starbucks Pick Up,Embarcadero
Coqueta,Embarcadero
Thoughts,Civic Center/UN Plaza
Angie's,16th St/Mission
Marty’s Grill,Richmond
111 Minna Gallery,Montgomery St
Mountain Mike's,19th St/Oakland
Rockridge Cafe,Rockridge
The Chocolate Dragon,Rockridge
A16,Rockridge
Judoku Sushi,Rockridge
The Burrito Shop,Rockridge
Pucquio,Rockridge
À Côté,Rockridge
hed verythai,Montgomery St
Katy's Creek,Walnut Creek
Cafe La Scala,Walnut Creek
Benu,Montgomery St
Peter's Big Pumpkin Espresso,19th St/Oakland
Balancoire,24th St/Mission
Romano's Macaroni Grill,El Cerrito Plaza
Tapas Bar,Civic Center/UN Plaza
Taqueria La Cocina,El Cerrito Plaza
Bartlett Hall,Powell St
B Restaurant and Bar,Powell St
Marufuku Ramen,MacArthur
T4 Tea For U,12th St/Oakland City Center
Plenty,19th St/Oakland
Dahlia,16th St/Mission
Pho Tan Hoa,Powell St
International Smoke,Embarcadero
Wuong Luang Thai Cuisine,Concord
The Old Spaghetti Factory,Concord
Lima,Concord
Vinnie's Bar & Grill,Concord
Loard's Ice Cream,Concord
Pacific Cocktail Haven,Powell St
El Techo,24th St/Mission
Lazy Bear,16th St/Mission
Doc's Clock,24th St/Mission
Las Palmeras,24th St/Mission
El Farolito Bar,24th St/Mission
Silverstone Coffee,24th St/Mission
Cinco Taco Bar,Bay Fair
Round Table Pizza,Pittsburg/Bay Point
Mom's Donuts,Pittsburg/Bay Point
Starbucks,West Dublin/Pleasanton
Subway,West Dublin/Pleasanton
New Honolulu,Montgomery St
Peet's Coffee,Civic Center/UN Plaza
Bare Knuckle Pizza,12th St/Oakland City Center
Delah Coffee,Embarcadero
Homeroom To Go,MacArthur
Supremo's Pizza,Powell St
Fish & Farm,Embarcadero
Castillito Yucateco,16th St/Mission
Poc-Chuc,16th St/Mission
So Hunan,Montgomery St
The Barrel Room,Embarcadero
Tokyo Express: Teriyaki House,Montgomery St
Today Food,Montgomery St
Morning Brew,Embarcadero
Palio,Montgomery St
Taqueria Castillo,Civic Center/UN Plaza
Kirimachi Ramen,Embarcadero
Mangia Tutti Ristorante,Montgomery St
Paparikas,Montgomery St
Bistro Burger,Embarcadero
Chim,Montgomery St
Gochees Pizza,Embarcadero
Perbacco,Embarcadero
Plaj,Civic Center/UN Plaza
Shizen,16th St/Mission
The Coffee Smith,Civic Center/UN Plaza
Sababa,Montgomery St
Foundation Cafe,Montgomery St
Ayola,Montgomery St
DeAfghanan,Montgomery St
Rock,Montgomery St
Hai's Restaurant,Civic Center/UN Plaza
Lafayette Coffee Shop,Civic Center/UN Plaza
Morty's,Civic Center/UN Plaza
Jin Mi Korean Cuisine,Civic Center/UN Plaza
Dandelion Chocolate Factory & Café,16th St/Mission
Jade Cafe,16th St/Mission
Cathay House,Montgomery St
Working Girls Cafe,Montgomery St
Sing Sing,Civic Center/UN Plaza
Obscenity Bar & Lounge,Powell St
Baklava Story,16th St/Mission
Jonell's,Powell St
Sabra Grill,Montgomery St
Hang Ah Tea Room,Montgomery St
Yokee Milk Tea,Montgomery St
La Fusión,Montgomery St
Chez Beesen,Embarcadero
Credo,Montgomery St
Momos and More,Montgomery St
Mr. Mahjong,Montgomery St
Asha Tea House,Montgomery St
Proper Food,Montgomery St
Salt House,Montgomery St
Cafe Atlas,Embarcadero
Cafe Ellis,Civic Center/UN Plaza
Kim Huong,Civic Center/UN Plaza
Lin's Kitchen,Powell St
Mom Banh Mi,Powell St
Chicos Pizza,Powell St
Falafel City,Powell St
The Pantry Pizza and More,Lake Merritt
Canasta Kitchen,Concord
Bay Leaf Cafe,Concord
BK Miyabi,Concord
Baskin-Robbins,Concord
Social Bird,Lafayette
Tacolicious,16th St/Mission
Tastee Steam Kitchen,12th St/Oakland City Center
Duchess,Rockridge
Tapioca Express,Union City
Mifen 101,Union City
Fino Bar & Restaurant,Powell St
Anton's Falafel House,Civic Center/UN Plaza
Mosto,16th St/Mission
Café Gourmand,Civic Center/UN Plaza
Tacos Panchos,Concord
Chai Bar by David Rio,Civic Center/UN Plaza
American Kitchen,Lafayette
Tutu's,Lafayette
Lafayette Public House,Lafayette
The cooperage,Lafayette
Taqueria La Cumbre,16th St/Mission
Vietnam House,Civic Center/UN Plaza
Naan 'n' Curry,Concord
Cream,Concord
T's Fire House Indian Cuisine & Sports Bar,Lafayette
Bar Fluxus,Montgomery St
Arthur Mac's Tap & Snack,MacArthur
Mushin,12th St/Oakland City Center
Gambino’s,Embarcadero
Cafe Orchid,Millbrae
El Aji,24th St/Mission
Asu Mare! #2,24th St/Mission
Finjan Qahwa,24th St/Mission
Cha Cha Cha,16th St/Mission
Pabu,Embarcadero
Little Sweet,16th St/Mission
The Jelly Donut,24th St/Mission
Chili Cha Cha 2,24th St/Mission
El Trebol,24th St/Mission
Evil Eye,24th St/Mission
Forage Kitchen,19th St/Oakland
Taqueria San Jose,24th St/Mission
Wahpepah's Kitchen,Fruitvale
Baby Blues BBQ,24th St/Mission
La Traviata,24th St/Mission
Chavita's Mexican Restaurant,24th St/Mission
El Rinconcito Nicaraguense,24th St/Mission
Tasty Coffee,Glen Park
Joodooboo,MacArthur
Do-Re-Mi,16th St/Mission
Amakara,West Dublin/Pleasanton
Mom's Soul Groove,Civic Center/UN Plaza
Wiki Wiki Hawaiian BBQ,Downtown Berkeley
Fong Kee Claypot,Union City
Spicy King,Montgomery St
Red Onion,El Cerrito del Norte
Skipolini's Pizza,Concord
Split Bread,Montgomery St
Uno Dos Tacos,Montgomery St
Homegrown,Embarcadero
Musashi,Downtown Berkeley
Delarosa,Powell St
Cream,16th St/Mission
Cafe La Noisette,16th St/Mission
Pink Onion,16th St/Mission
Linea Cafe,16th St/Mission
Mensho Ramen,Powell St
Cafe Tapioca,West Dublin/Pleasanton
Phở Kim Long,Milpitas
Kinder's,Walnut Creek
Shanghai Gourmet,Walnut Creek
Snow Garden Restaurant,Montgomery St
Starbucks,Castro Valley
Rigatoni's Fresh Italian Grill,Castro Valley
Vitality Bowl,Castro Valley
Posh Bagel,Castro Valley
Loard's Ice Cream,Castro Valley
Phulkari Indian Cuisine,Castro Valley
Cheese Steak,Castro Valley
Don Jose's Mexican Restaurant,Castro Valley
Chef's Express,Castro Valley
Rita's Italian Ice,Castro Valley
The Burrito Shop,Castro Valley
Turo Cafe and Grill,Balboa Park
Pasta Primavera,Pleasant Hill/Contra Costa Centre
Chez Nguyen,Montgomery St
Breakfast Little,24th St/Mission
Yemen Kitchen,Civic Center/UN Plaza
7Leaves Cafe,Berryessa/North San José
Annie’s Ice Cream Gelato,Downtown Berkeley
Portales Taqueria,Castro Valley
84 Viet,Downtown Berkeley
Knudsen's Ice Creamery,Castro Valley
The Saint Regis,Montgomery St
Cha’s Kitchen,Berryessa/North San José
Bills Cafe,Berryessa/North San José
Supreme Pizza,16th St/Mission
Beanstalk Cafe,Powell St
Nojo Ramen Tavern,Civic Center/UN Plaza
Onsen,Civic Center/UN Plaza
Blue Nile,Lake Merritt
Seoul Gom Tang,MacArthur
MLK Cafe,MacArthur
Equator Coffees & Teas,19th St/Oakland
Parche,19th St/Oakland
Sanraku,Powell St
Cafe Venue,Embarcadero
Philz Coffee,Embarcadero
Whitechapel,Civic Center/UN Plaza
Goldilocks,Daly City
Morton's The Steakhouse,Powell St
Motivāt Coffee Roasters,12th St/Oakland City Center
Lettuce,Walnut Creek
Mr. Green Bubble,Walnut Creek
Villon,Civic Center/UN Plaza
Ippudo (一風堂),Powell St
Kola Pasi,16th St/Mission
La Flor de Jalisco,Richmond
Cajun Claws Seafood Boil House,19th St/Oakland
Hui Lau Shan,Downtown Berkeley
The BreakRoom,Downtown Berkeley
Snapper's,Richmond
China Kitchen,Hayward
Joe & The Juice,Embarcadero
Barbary Coast,Powell St
Cauliflower,16th St/Mission
Modern Coffee,12th St/Oakland City Center
Maya Halal Taqueria,12th St/Oakland City Center
Biryani Tika Kabab,12th St/Oakland City Center
Pyeong Chang Tofu,North Berkeley
The City Club,16th St/Mission
Little Kite Asian Fusion,24th St/Mission
ExpressPizza,Hayward
Cool Tea Bar,Montgomery St
Café Parisien,Downtown Berkeley
Sobre Mesa,19th St/Oakland
YOKEE,19th St/Oakland
Local Food Adventures,Lafayette
Dumpling Story,16th St/Mission
Creekwood,Ashby
Xiang Yuan Xiao Long Bao,San Leandro
Farm:Table,Powell St
The Parthenon,Powell St
Ruth’s at Treat Street,24th St/Mission
Coffee Bar,Montgomery St
Tamarack,12th St/Oakland City Center
The Dirty Bird Lounge,Hayward
Fortune Cookie,West Oakland
Red Chilli,Powell St
Golden Safari,Hayward
Mixt,19th St/Oakland
Boba Binge,19th St/Oakland
Low Bar,19th St/Oakland
Black cat,Civic Center/UN Plaza
Charmaine's rooftop bar,Civic Center/UN Plaza
The Early Bird Coffee,Hayward
RT Rotisserie,Civic Center/UN Plaza
Kendejah,San Leandro
20 Spot,24th St/Mission
Olive Garden,Milpitas
Cafe La Tazita,Powell St
Café Encore,Powell St
Mixt,Powell St
Win Garden,Glen Park
Glen Park Cafe,Glen Park
West of Pecos,16th St/Mission
Las Brisas de Acapulco,24th St/Mission
Urban Legend Winery Tasting Room,Lake Merritt
Bar Shiru,19th St/Oakland
The Posh Bagel,Embarcadero
Buckhorn Grill,Embarcadero
Far East Cafe,Montgomery St
Leonardo’s Italian Deli & Cafe,Millbrae
United Dumplings,Rockridge
The Sandwich Boss at EPC,Montgomery St
Lotus Leaf,San Leandro
Craftsman and Wolves,16th St/Mission
Peet's Coffee,San Leandro
Good Luck,Montgomery St
Trailblazer Tavern,Embarcadero
Estas Manos Coffee Roasters,Embarcadero
Caffé.in,Union City
Sushi Go Go,Union City
Parilya,Union City
Bar Jamón,Civic Center/UN Plaza
Poets Cafe,Civic Center/UN Plaza
Local Roots,Montgomery St
Cold Stone Creamery,San Bruno
Long Life Vegi House,North Berkeley
Kell’s,Embarcadero
Daol tofu,MacArthur
Artichoke basille's pizza,MacArthur
Mugunghwa,MacArthur
Smokin Woods BBQ,MacArthur
Night Heron,19th St/Oakland
Ladle & Leaf,Montgomery St
Baja Cali Taqueria,Orinda
Cafe Teatro,Orinda
Crazy Pepper,Balboa Park
Oren's Hummus,Montgomery St
Barberio,16th St/Mission
4 Dreams Nepali Indian Cuisine,Downtown Berkeley
Baskin-Robbins,San Leandro
Porridge & Things,Millbrae
American Burgers & BBQ,Civic Center/UN Plaza
Anatolian Table,16th St/Mission
Shanghai China Restaurant,Civic Center/UN Plaza
Zaoh,Civic Center/UN Plaza
Taqueria Pericos,San Leandro
Indian Grill,San Leandro
La Mar Cebicheria Peruana,Embarcadero
Casa Orinda,Orinda
La Piazza,Orinda
Sushi Island,Orinda
Steap Tea & Snack Bar,Montgomery St
Sushi Boat Restaurant,Montgomery St
Kan's,Montgomery St
City View,Montgomery St
Amorino,Montgomery St
Manila Eatery,Colma
Proyecto Diaz Coffee,19th St/Oakland
Nidos' Backyard,Lake Merritt
Mr. Tipple's Recording Studio,Civic Center/UN Plaza
Souvla,16th St/Mission
Becky's,Rockridge
Pekoe,Berryessa/North San José
Lai Rai Restaurant,Berryessa/North San José
Jasmine Thai,Berryessa/North San José
iTea,San Leandro
Phở Cường 2,Berryessa/North San José
Kanteen,16th St/Mission
Tacos Oscar,MacArthur
Burma 2,Walnut Creek
Bangkok Thai Cuisine,North Berkeley
Golden King Vietnamese Restaurant,Montgomery St
Box Kitchen,Powell St
Higher Grounds Coffee House and Restaurant,Glen Park
Pebble's Cafe,Glen Park
Los Cuates,Colma
Xingones,Lake Merritt
Noodles Fresh,Downtown Berkeley
Southie,Rockridge
Peerless Coffee and Tea Espresso and Shop,Lake Merritt
Steps Coffee,Montgomery St
Parada,Pleasant Hill/Contra Costa Centre
Hops & Scotch,Pleasant Hill/Contra Costa Centre
Asiana Garden,Milpitas
Li Yuan Dim Sum,Milpitas
Ozon Cafe,Milpitas
Phở 89,Milpitas
Mama Lupita's,Milpitas
Anja’s,Downtown Berkeley
Elaichi,Downtown Berkeley
El Taconazo,Colma
Chick-N-Coop,Colma
Suily's Cafe,Colma
Yumeya Sushi1,Pleasant Hill/Contra Costa Centre
Heavenly Bistro,Pleasant Hill/Contra Costa Centre
Sharetea,Concord
Taqueria El Farolito,Concord
Hayati Hookah,Downtown Berkeley
West coast pizza,North Berkeley
Keith's Chicken and Waffles,Colma
Los Metates Taqueria,Colma
Al Fin,Colma
Tara's,Rockridge
DIYA Indian and Nepali food,Powell St
Yimm,Rockridge
Oken,Rockridge
Ain't Normal,Rockridge
Rare Tea,Rockridge
Millennium,Rockridge
Holy Basil Pho,Rockridge
RareTea,Downtown Berkeley
Seventh West,West Oakland
Yogurt Park,Downtown Berkeley
San Vicente,Colma
Sichuan Fusion,El Cerrito Plaza
Mi Noodle House,El Cerrito Plaza
Pho Saigon 2,El Cerrito Plaza
Philz Coffee,Fremont
Frodo Joe's Petit Cafe,Fremont
Hinodeya Downtown,Montgomery St
Oakland Street Food Co.,12th St/Oakland City Center
Sam's Cable Car Lounge,Powell St
,Berryessa/North San José
Kyoto Ramen,El Cerrito Plaza
Mastro's Steakhouse,Powell St
Waikiki Hawaiian BBQ,El Cerrito Plaza
Nori roll,El Cerrito Plaza
Scène,El Cerrito Plaza
Happy garden,El Cerrito del Norte
New Dumpling,El Cerrito Plaza
Denny's,El Cerrito del Norte
Larb,El Cerrito Plaza
Noodles Fresh,El Cerrito Plaza
Mugunghwa,El Cerrito Plaza
Tashi Delek,El Cerrito del Norte
Morning Due Café,16th St/Mission
Tadka,24th St/Mission
Hawaiian Drive Inn,Colma
Dinner House,12th St/Oakland City Center
,Colma
Via Mare,Daly City
,Daly City
Cafe Van Kleef,19th St/Oakland
Peet's Coffee,Embarcadero
Bimi Poke,Powell St
Uji Time,Powell St
Ushio Ramen,16th St/Mission
Shewhat Cafe,Ashby
Open Test Kitchen,12th St/Oakland City Center
Yossie's Cantina,Civic Center/UN Plaza
Sideboard,Lafayette
Stookey's Club Moderne,Powell St
Oma Sushi,Powell St
Black Sugar,Powell St
Ton Ton Japanese Ramen House,Powell St
Lapisara,Powell St
iThai,Powell St
The Public Izakaya,Powell St
Timeless Coffee,19th St/Oakland
Metro,Lafayette
Peet's Coffee,Lafayette
CoCo Fresh Tea & Juice,Montgomery St
Cafe Dolci,Powell St
Clock Bar,Powell St
Cityscape Lounge,Powell St
,Montgomery St
Persona,Powell St
Elements Bar and Lounge,Powell St
Joy's Place,Powell St
Bluestone Lane,Powell St
Red Bay Coffee,Montgomery St
Sum Dim Sum,Montgomery St
Enjoy Vegetarian,Montgomery St
Magical Ice Cream,Montgomery St
Matcha Cafe Maiko,Montgomery St
SushiToni,Powell St
iCafe Chinatown,Montgomery St
Sunflower Hawaiian Barbecue,16th St/Mission
Gangnam Tofu Korean Cuisine,El Cerrito del Norte
Cafe Bean,Powell St
Aliment,Powell St
The Beehive,16th St/Mission
Smitten,24th St/Mission
Cha-Ya Vegetarian,16th St/Mission
Sharetea,Powell St
Unagi Shop,Powell St
Big Lantern,16th St/Mission
Gusto,Powell St
Home Coffee Roasters,Montgomery St
Gong Cha,Powell St
New York Pizza Kitchen,Powell St
Rolling Dumpling,Powell St
The Melt,19th St/Oakland
High 5ive,19th St/Oakland
Otto’s,19th St/Oakland
Pizza Due,16th St/Mission
Kona’s Street Market,Montgomery St
Matko,16th St/Mission
Got Pho,San Bruno
Red Circle Dumplings,San Bruno
Lux Pub and Club,12th St/Oakland City Center
Bread Winners,12th St/Oakland City Center
Blue Bottle Coffee,12th St/Oakland City Center
Caffe Ambrosia,Montgomery St
Tad's Steaks,Powell St
Fogo de Chão,Montgomery St
New Ming's Restaurant,Montgomery St
Toy Soldier,Montgomery St
CoCo Bang,Powell St
Le Regency Deli Cafe,Embarcadero
Terminus,Embarcadero
Cafe 22,Powell St
The Little Spot Cafe,24th St/Mission
Poké Bar,Downtown Berkeley
Noody,Downtown Berkeley
KoStop,Downtown Berkeley
Kiss Lounge Bar & Restaurant,19th St/Oakland
Birdsong,Civic Center/UN Plaza
Taqueria El Castillo,Civic Center/UN Plaza
Philz Coffee,Civic Center/UN Plaza
The Library,Powell St
Ox & Tiger,Powell St
SF Eagle,16th St/Mission
Powerhouse,Civic Center/UN Plaza
Little Jane on Grant,Montgomery St
Rio California,12th St/Oakland City Center
The Pawn Shop,Powell St
Mijouri SushiBune,San Bruno
Oyama Sushi,Walnut Creek
Ikoi,Walnut Creek
Lokanta,Walnut Creek
La Cuisine Cafe,Civic Center/UN Plaza
La Sen Bistro,Walnut Creek
Kayma,Civic Center/UN Plaza
Mi Morena,Civic Center/UN Plaza
Estrellita's Snacks,Civic Center/UN Plaza
Boug Cali,Civic Center/UN Plaza
Los Cilantros,Civic Center/UN Plaza
Fluid Cooperative Cafe,Civic Center/UN Plaza
Teranga,Civic Center/UN Plaza
Oke Poke,Walnut Creek
Tacos Walnut Creek,Walnut Creek
Banh Mi Ba Le,El Cerrito Plaza
LITA,Walnut Creek
Grand Lake Kitchen,24th St/Mission
Locali Mediterranean,Embarcadero
The Lark Bar,Montgomery St
Junbi Matcha & Tea,Montgomery St
La Marsa,Powell St
The European,Powell St
Resolute,Powell St
77 Chinese Cuisine & Hawaiian,Embarcadero
Roka Akor,Embarcadero
Max's Opera Cafe,Civic Center/UN Plaza
Kitchen Aloha,Civic Center/UN Plaza
Bar Part Time,16th St/Mission
Nakama Sushi,Civic Center/UN Plaza
Pokéworks,Embarcadero
Noor Indian Fusion Kitchen,North Berkeley
Himalayan Flavors,North Berkeley
Van Ness Cafe & Gyros,Civic Center/UN Plaza
Mela Bistro,19th St/Oakland
Phonobar & Om Sabor,Civic Center/UN Plaza
Himalayan Hub,16th St/Mission
Maruya,16th St/Mission
Burke & Black,Civic Center/UN Plaza
Lapats,Civic Center/UN Plaza
Larkin Restaurant,Civic Center/UN Plaza
Sweet Glory,Civic Center/UN Plaza
Quickly,Civic Center/UN Plaza
Sons & Daughters,Powell St
Starbucks,Union City
Pho Mama,Union City
Sunright Tea Studio,Union City
Din Ding Dumpling House,Union City
Baby Cafe,Union City
Che Lo,Union City
Ramen Shu,Union City
Torch Bar,19th St/Oakland
Kip's Bar and Grill,Downtown Berkeley
Catastrophe Pizza,MacArthur
House of Fusion,Daly City
Sam's Grill,Montgomery St
Lou's Sandwiches Cafe,Embarcadero
Manny's,16th St/Mission
Comfort Collective,12th St/Oakland City Center
Qi Wei House,12th St/Oakland City Center
Chef Yu Chinese Restaurant,MacArthur
Hong Kong Chef,San Leandro
O',Powell St
One65 Bistro & Grill,Powell St
Noodle Time,Embarcadero
Jolly Cafe,12th St/Oakland City Center
The Bird Cage,Powell St
Buoy,Civic Center/UN Plaza
Handroll Project,16th St/Mission
Bluestone Lane,Embarcadero
Café Xiloá,Colma
Chicha San Chen,Downtown Berkeley
Study Hall Rooftop Lounge,Downtown Berkeley
Coffee Hut,Downtown Berkeley
Blue Bottle Coffee,Civic Center/UN Plaza
Nightingale,Montgomery St
El Trebol #2,24th St/Mission
UC Dessert,12th St/Oakland City Center
heist,Powell St
Halal Spot,Civic Center/UN Plaza
Delah Coffee,Powell St
Stick & Steam,Millbrae
Dolores Outpost,16th St/Mission
Plain Jane,24th St/Mission
Louder,Civic Center/UN Plaza
The TL Cafe and Laundromat,Powell St
Mộng Thu,Civic Center/UN Plaza
Zenpo Sushi,Civic Center/UN Plaza
Golden Era Vegan Restaurant,Civic Center/UN Plaza
Boogaloos,24th St/Mission
Fresh Market,Powell St
Café Rito,Powell St
The Oak Room Restaurant,Powell St
ENO Wine Bar,Powell St
Eclipse Kitchen & Bar,Embarcadero
The Market,Embarcadero
Unexpected Era Cafe,Civic Center/UN Plaza
Golden Kim Tar Restaurant,Civic Center/UN Plaza
Chambers,Civic Center/UN Plaza
Spice of India,Civic Center/UN Plaza
Kimbap Heaven,Civic Center/UN Plaza
Secret Bar & Lounge,Civic Center/UN Plaza
uccello Lounge,Civic Center/UN Plaza
Caffe Central,Powell St
Icicles,Powell St
Cafecito,Powell St
Belly,Rockridge
Hideaway Cafe,Powell St
Warakubune Sushi,16th St/Mission
Zen Yai,Civic Center/UN Plaza
Hinata,Civic Center/UN Plaza
Grand Coffee Too,24th St/Mission
Cafe la Rosa,Civic Center/UN Plaza
Sai Jai Thai,Civic Center/UN Plaza
Moongate Lounge,Montgomery St
Dragon Horse,Powell St
Limoncello,24th St/Mission
Todos Cantina + Cocina,19th St/Oakland
Haus of Chefs,19th St/Oakland
Ikon Coffee,San Bruno
Jaji,19th St/Oakland
Ula,Powell St
Montesacro,Civic Center/UN Plaza
Tenderheart,Powell St
Dosa Hut,Fremont
One Milk Tea,12th St/Oakland City Center
Himalayan Cuisine - Nepalese & Indian Restaurant,Concord
Bloom,19th St/Oakland
Sessions on 15th,12th St/Oakland City Center
Minto's,12th St/Oakland City Center
B-Side,Civic Center/UN Plaza
